epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,864.562,0.85495,0.55265,1.043,0.93681,0.9112,0.95803,0.75161,0.97947,0.47278,1.02859,0.000132438,0.000132438,0.000132438
97,994.969,0.84892,0.54968,1.04505,0.9465,0.89793,0.95237,0.74663,0.98295,0.48142,1.0252,0.0001312,0.0001312,0.0001312
98,1126.45,0.83111,0.54562,1.04045,0.94417,0.90329,0.95744,0.75166,0.9876,0.48443,1.02827,0.000129963,0.000129963,0.000129963
99,1261.86,0.84951,0.55059,1.04132,0.92185,0.91032,0.95069,0.74664,0.99431,0.49112,1.0427,0.000128725,0.000128725,0.000128725
100,1400.66,0.89583,0.57785,1.06499,0.93219,0.91311,0.95488,0.74807,0.9826,0.48595,1.03578,0.000127488,0.000127488,0.000127488
101,1541.25,0.88504,0.57429,1.05608,0.93816,0.90066,0.95289,0.74712,0.97208,0.4782,1.0217,0.00012625,0.00012625,0.00012625
102,1703.76,0.89279,0.57348,1.05368,0.93477,0.9097,0.95428,0.74542,0.98348,0.48181,1.03537,0.000125013,0.000125013,0.000125013
103,1841.78,0.88957,0.56944,1.05882,0.9288,0.923,0.95652,0.75399,0.96458,0.46944,1.01823,0.000123775,0.000123775,0.000123775
104,1983.37,0.8823,0.56277,1.05923,0.93982,0.89891,0.95178,0.73531,0.9966,0.48152,1.03873,0.000122537,0.000122537,0.000122537
105,2123.31,0.8794,0.56472,1.05455,0.93341,0.91002,0.95428,0.74544,0.97125,0.47773,1.02987,0.0001213,0.0001213,0.0001213
106,2266.14,0.87814,0.56931,1.05584,0.93847,0.91469,0.95542,0.7571,0.96835,0.46845,1.02421,0.000120063,0.000120063,0.000120063
107,136.724,0.78892,0.53042,1.01977,0.91968,0.92504,0.95745,0.7518,0.96042,0.47477,1.02397,0.000118825,0.000118825,0.000118825
108,263.389,0.7881,0.52035,1.02153,0.92887,0.92248,0.95638,0.75061,0.9847,0.47899,1.02621,0.000117588,0.000117588,0.000117588
109,393.902,0.81877,0.52804,1.02805,0.93355,0.92704,0.95579,0.75261,0.98024,0.47046,1.02229,0.00011635,0.00011635,0.00011635
110,523.651,0.81671,0.52001,1.02556,0.92915,0.9151,0.95251,0.75524,0.96861,0.47208,1.02753,0.000115112,0.000115112,0.000115112
111,648.922,0.8383,0.52334,1.03183,0.942,0.90504,0.95433,0.74059,0.98345,0.46882,1.04274,0.000113875,0.000113875,0.000113875
112,776.575,0.81921,0.5193,1.02818,0.93737,0.90524,0.95286,0.74612,0.98527,0.47193,1.04231,0.000112637,0.000112637,0.000112637
113,896.684,0.81022,0.51553,1.02648,0.93517,0.91578,0.95194,0.74189,0.99783,0.47585,1.05003,0.0001114,0.0001114,0.0001114
114,1024.79,0.79031,0.50679,1.02204,0.94272,0.91458,0.95634,0.75816,0.9688,0.46129,1.0267,0.000110163,0.000110163,0.000110163
115,1156.07,0.7977,0.51206,1.02035,0.93625,0.91237,0.95281,0.75587,0.9668,0.47524,1.03169,0.000108925,0.000108925,0.000108925
116,1289.6,0.83069,0.52675,1.03641,0.93361,0.9219,0.95389,0.75629,0.97972,0.47559,1.03256,0.000107688,0.000107688,0.000107688
117,1423.86,0.82247,0.5232,1.02927,0.92452,0.9216,0.95151,0.7478,0.98868,0.47189,1.03631,0.00010645,0.00010645,0.00010645
118,1563.99,0.83118,0.52584,1.02777,0.93538,0.91445,0.95045,0.73989,1.0061,0.48228,1.05045,0.000105213,0.000105213,0.000105213
119,1698.35,0.82672,0.52173,1.03213,0.94217,0.91409,0.95398,0.74905,0.98363,0.46728,1.03317,0.000103975,0.000103975,0.000103975
120,1833.14,0.81647,0.514,1.02953,0.93023,0.92152,0.95426,0.74849,0.9845,0.46806,1.0307,0.000102738,0.000102738,0.000102738
121,1965.19,0.8189,0.51895,1.02904,0.92846,0.9139,0.955,0.74624,0.99217,0.46864,1.04067,0.0001015,0.0001015,0.0001015
122,2099.5,0.82257,0.52424,1.03261,0.94103,0.91366,0.95586,0.7557,0.97152,0.46308,1.03105,0.000100263,0.000100263,0.000100263
123,2235.44,0.87491,0.55023,1.05003,0.93823,0.91232,0.95344,0.75095,0.98076,0.46357,1.03575,9.9025e-05,9.9025e-05,9.9025e-05
124,2371.74,0.85926,0.54719,1.04784,0.94111,0.91665,0.95511,0.7569,0.96101,0.45414,1.0229,9.77875e-05,9.77875e-05,9.77875e-05
125,2513.93,0.8652,0.54448,1.04645,0.94569,0.9103,0.958,0.7616,0.96675,0.45792,1.02579,9.655e-05,9.655e-05,9.655e-05
126,133.573,0.74978,0.48672,1.00327,0.93706,0.92238,0.95881,0.75951,0.96626,0.46079,1.02723,9.53125e-05,9.53125e-05,9.53125e-05
127,258.153,0.75315,0.48094,1.00479,0.92839,0.92377,0.95165,0.75577,0.97039,0.46639,1.02606,9.4075e-05,9.4075e-05,9.4075e-05
128,385.23,0.78255,0.49209,1.01238,0.94489,0.91573,0.95629,0.75746,0.97426,0.45824,1.02952,9.28375e-05,9.28375e-05,9.28375e-05
129,512.251,0.78841,0.49063,1.01282,0.94883,0.91763,0.95662,0.76505,0.96065,0.45573,1.02358,9.16e-05,9.16e-05,9.16e-05
130,633.443,0.80572,0.49437,1.0154,0.93637,0.92619,0.9558,0.75795,0.95449,0.44878,1.02635,9.03625e-05,9.03625e-05,9.03625e-05
131,760.127,0.78039,0.48711,1.01041,0.94075,0.9172,0.95566,0.75059,0.97933,0.46104,1.03989,8.9125e-05,8.9125e-05,8.9125e-05
132,887.312,0.76704,0.483,1.00872,0.94576,0.9162,0.95418,0.75101,0.97502,0.45513,1.04336,8.78875e-05,8.78875e-05,8.78875e-05
133,1010.24,0.75091,0.47437,1.00592,0.94738,0.91362,0.95475,0.7572,0.9684,0.45878,1.02939,8.665e-05,8.665e-05,8.665e-05
134,1143.13,0.76205,0.48039,1.00496,0.94685,0.90975,0.95711,0.761,0.96387,0.45643,1.03163,8.54125e-05,8.54125e-05,8.54125e-05
